en_url,proposed_es_url,proposed_es_title,nota,modo
/en/tour/15-day-egypt-tour-pyramids-to-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/3-night-nile-cruise-aswan-to-luxor,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/4-night-nile-cruise-luxor-to-aswan,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/7-night-nile-cruise-full-egypt,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/8-day-flight-to-antiquity-cairo-alexandria-enchanting-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/abundance-dahabiya-nile-cruise,/es/tour/abundance-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Abundance | Luxor–Asuán 2026/2027,,auto
/en/tour/al-kahila-nile-cruise,/es/tour/al-kahila-crucero-por-el-nilo,Crucero por el Nilo Al Kahila | Luxor–Asuán 2026/2027,,auto
/en/tour/alyssa-nile-cruise,/es/tour/alyssa-crucero-por-el-nilo,Crucero por el Nilo Alyssa | Luxor–Asuán 2026/2027,,auto
/en/tour/amoura-dahabiya-nile-cruise,/es/tour/amoura-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Amoura | Luxor–Asuán 2026/2027,,auto
/en/tour/awaken-the-ancients-exclusive-egypt-dahabiya-sail,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/concerto-nile-cruise,/es/tour/concerto-crucero-por-el-nilo,Crucero por el Nilo Concerto | Luxor–Asuán 2026/2027,,auto
/en/tour/crown-prince-nile-cruise,/es/tour/crown-prince-crucero-por-el-nilo,Crucero por el Nilo Crown Prince | Luxor–Asuán 2026/2027,,auto
/en/tour/dignity-of-the-nile-5-day-luxury-nile-cruise-from-luxor-to-aswan,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/echoes-of-eternity-6-day-cairo-luxury-nile-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/esmeralda-nile-cruise,/es/tour/esmeralda-crucero-por-el-nilo,Crucero por el Nilo Esmeralda | Luxor–Asuán 2026/2027,,auto
/en/tour/farida-nile-cruise,/es/tour/farida-crucero-por-el-nilo,Crucero por el Nilo Farida | Luxor–Asuán 2026/2027,,auto
/en/tour/giza-wonders-golden-sands-cairo-3-night-aswan-luxor-cruise,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/grand-rose-nile-cruise,/es/tour/grand-rose-crucero-por-el-nilo,Crucero por el Nilo Grand Rose | Luxor–Asuán 2026/2027,,auto
/en/tour/honeymoon-nile-cruise-package,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/iberotel-crown-emperor-nile-cruise,/es/tour/crown-emperor-crucero-por-el-nilo,Crucero por el Nilo Crown Emperor (Iberotel) | Luxor–Asuán 2026/2027,,auto
/en/tour/intimate-nile-8-day-cairo-boutique-dahabiya,,,باقة وصفية — تحتاج ترجمة يدوية للاسم والعنوان,manual
/en/tour/jasmine-dahabiya-nile-cruise,/es/tour/jasmine-crucero-dahabiya-por-el-nilo,Crucero Dahabiya por el Nilo Jasmine | Luxor–Asuán 2026/2027,,auto
/en/tour/jaz-crown-jewel-nile-cruise,/es/tour/crown-jewel-crucero-por-el-nilo,Crucero por el Nilo Crown Jewel (Jaz) | Luxor–Asuán 2026/2027,,auto
